"Name","padel_CrippenLogP","padel_nBase","padel_XLogP","padel_AATS1v","padel_AATS0i","padel_ETA_EtaP_F","padel_ZMIC2","padel_maxHBa","padel_minsssN","padel_AATS1i","padel_ETA_dEpsilon_B","padel_GATS1i","padel_ZMIC1","padel_SsssN","padel_nAromBond","padel_AATSC0p","padel_minHBd","padel_LipoaffinityIndex","padel_AATS3v","padel_AATS2i","padel_C2SP2","padel_AATS4v","padel_Kier2","padel_AATS6m","padel_AATS6v","padel_minssCH2","Opera_LogP","Opera_LogWS","Opera_LogBCF","Opera_LogKM"
"DTXSID0059871",0.90319,0,0.772,273.985468124275,222.056626677583,0.85145,31.9751885460537,11.4537037037037,0,176.982036530691,0,1.36449159177578,34.4021961532739,0,0,0.21007409870125,0.879027777777778,5.28108541666667,195.134143364242,206.689021218336,0,144.671080991089,2.56,0,0,0,0.818453473127913,-0.752080669472275,0.290482529150126,-1.01873954177029
"DTXSID3059927",0.8769,0,1.435,253.636737406281,207.142317012658,0.81368,45.9516305551098,12.16,0,165.213253026328,0,1.20343170478229,48.0759613595153,0,0,0.211256708704216,0.838888888888889,3.59171083333333,172.585874365592,186.914711244078,0,157.39410614089,3.63,28.35706418016,79.6658321143013,-2.42104166666667,0.89239393466514,-0.833421296189208,0.294355269097909,-1.06261509219345
"DTXSID80310730",0.73209,0,0.246,281.121121682842,214.647778208273,1.16769,54.7414629875392,12.5974305555556,0,172.763202385009,0,1.24912882349577,60.7558405406092,0,0,0.216160167002331,0.90812748015873,8.15487044595616,219.757640181283,190.904154065558,0,199.214816543338,4.83555555555556,133.4458313784,163.042577720398,0,1.85299881864136,-1.44231377971081,0.298667634512549,-0.4569387151978
"DTXSID70381090",1.3754,0,1.244,256.544175000465,210.021202942312,0.96901,60.6746896053286,12.4475524376417,0,167.512583553213,0,1.29834876390341,63.8446146067709,0,0,0.20262590413141,0.866172052154195,5.6281630757905,179.626901289885,197.119408754512,0,213.331484073273,5.55102040816327,108.25240558784,153.525899615565,-2.39378684807256,2.13184551936244,-1.21727053725867,0.257702996093368,-0.45084789183776
"DTXSID10382147",2.1979,0,3.255,264.529673370741,211.39489067859,0.95442,49.302629341628,12.6638194444444,0,165.379486620283,0,1.21243711475655,61.6142267704756,0,0,0.224001583515158,0.688715277777778,5.56805168615363,177.100611012166,188.97110133184,0,164.927271189629,5.17479191438763,98.5546879143273,149.747080542595,-2.44229166666667,2.39834632029998,-3.33617809333592,0.417114683962933,-0.71358940976783
"DTXSID70366226",1.87659,0,2.018,282.181825703044,222.991542436403,1.01474,41.400002799092,12.2,0,173.063030955912,0,1.32721860480087,50.2451194955664,0,0,0.228005234735201,0.901510770975057,6.71710742441421,210.722646534524,199.142041036792,0,190.081480584822,4.10763888888889,105.9328298784,125.145904580249,0,2.1101922572699,-1.34462426265537,0.316013497728468,-1.18943455079913
"DTXSID2060965",1.53849,0,1.653,284.643621161432,226.572119726733,0.97691,37.4245729453904,11.8755787037037,0,176.140619114829,0,1.38309626139904,43.2594351764747,0,0,0.22312802575144,0.902361111111111,6.9005925,211.94817638164,205.645604884169,0,182.869306402534,3.29251700680272,19.1503904256,74.1834929458842,0,2.00113519392266,-1.34658488055322,0.309987759378642,-1.13682343028466
"DTXSID30396867",2.7828,0,4.078,276.998996814523,219.193244662518,1.15703,79.2307908134045,12.8381774376417,0,167.82730932533,0,1.26757817244569,83.4862969691817,0,0,0.231904169734781,0.838888888888889,7.31229421241182,201.878367647113,192.53094331361,0,197.916769115755,5.81717451523546,164.384723908908,176.690612319397,-3.15909297052154,3.17446231590006,-2.85381160536025,0.415703936354371,0.0453851101648208
"DTXSID00380798",2.5776,0,2.47,267.493307373302,215.927893805097,1.17017,86.4559460793075,12.7910058421517,0,169.033808466797,0,1.33702981277015,90.754363680642,0,0,0.210598337006608,0.867907589344278,8.77104996705941,195.550718694708,201.116365062273,0,227.601959526317,7.55264723378941,163.653484483606,183.45799004677,-2.65569824423112,3.61280863566378,-2.95139153301351,0.496233827081501,-0.309376902726955
"DTXSID30340244",5.37541,0,6.831,295.563612327888,198.265717204752,1.3099,74.0945058923651,13.5655074221046,0,155.675827898463,0.0911,1.02844890382281,89.9344983554271,0,6,0.334341002034188,0,10.3078187167411,221.088513817842,178.534791266263,5,190.940243437717,8.74125336409073,175.222760920287,212.888235036575,-3.12648796401277,6.00440759296399,-5.60832545235965,2.14330563040042,0.880125095651837
"DTXSID60400587",2.17379,0,2.534,291.540073126651,229.582448426167,1.08842,46.4608215493724,12.2052083333333,0,175.596172551623,0,1.39810653776002,53.0758569493323,0,0,0.231827214120889,0.921918934240363,8.41721849773243,220.582409552736,205.019555083668,0,202.241854973951,4.03292181069959,150.91783308,144.671080991089,0,1.96686500698548,-1.34820673455692,0.309409984454989,-1.08945665566376
