MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_exp,LogP_pred,AD_LogP,AD_index_LogP,Conf_index_LogP,MP_exp,MP_pred,AD_MP,AD_index_MP,Conf_index_MP,BP_exp,BP_pred,AD_BP,AD_index_BP,Conf_index_BP,LogVP_exp,LogVP_pred,AD_VP,AD_index_VP,Conf_index_VP,LogWS_exp,LogWS_pred,AD_WS,AD_index_WS,Conf_index_WS,LogHL_exp,LogHL_pred,AD_HL,AD_index_HL,Conf_index_HL,RT_exp,RT_pred,AD_RT,AD_index_RT,Conf_index_RT,LogKOA_exp,LogKOA_pred,AD_KOA,AD_index_KOA,Conf_index_KOA,pKa_a_exp,pKa_b_exp,ionization,pKa_a_pred,pKa_b_pred,AD_pKa,AD_index_pKa,Conf_index_pKa,LogD55_pred,LogD74_pred,AD_LogD,AD_index_LogD,Conf_index_LogD,LogOH_exp,LogOH_pred,AD_AOH,AD_index_AOH,Conf_index_AOH,LogBCF_exp,LogBCF_pred,AD_BCF,AD_index_BCF,Conf_index_BCF,BioDeg_exp,BioDeg_LogHalfLife_pred,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,ReadyBiodeg_exp,ReadyBiodeg_pred,AD_ReadyBiodeg,AD_index_ReadyBiodeg,Conf_index_ReadyBiodeg,LogKM_exp,LogKM_pred,AD_KM,AD_index_KM,Conf_index_KM,LogKoc_exp,LogKoc_pred,AD_LogKoc,AD_index_LogKoc,Conf_index_LogKoc,FUB_exp,FUB_pred,AD_FUB,AD_index_FUB,Conf_index_FUB
DTXSID0059871,163.005654784,12,10,3,1,1,0,0,0,0.666666666666667,2,2,1,0,43.09,18.5441,0.73,NaN,0.818453473127913,1,0.477802810817411,0.602362568690302,NaN,21.5455248958918,1,0.393655672100494,0.406555048075463,NaN,127.476231636006,0,0.289232140008432,0.460185656999816,NaN,-0.410298985895483,1,0.411620108899021,0.340911476034437,NaN,-0.752080669472275,1,0.362133659617003,0.419883060127314,NaN,-5.73116262832016,0,0.310291684086008,0.471036097720568,NaN,0.140679181951455,1,0.47202487225773,0.577845865645759,NaN,4.07818653437192,1,0.975724430047318,0.896825889591796,NaN,NaN,1,6.87671314843491,NaN,0,0.329960812542875,0.513772969753125,0.800584240119787,0.181317413596916,0,0.403881811680143,0.558067769221713,NaN,-12.5179956517473,1,0.353408068141903,0.437306231140294,NaN,0.290482529150126,0,0.358063447457256,0.547328577323022,NaN,0.648047733779338,0,0.274242666892485,0.519986171975426,NaN,1,1,0.224735982894515,0.612367991447257,NaN,-1.01873954177029,1,0.420946970376411,0.620396858523518,NaN,0.981513339084443,1,0.505133962759142,0.624740339382948,NaN,0.815596175865644,0,0.207321452927062,0.509248292820773
DTXSID3059927,212.027198752,19,13,5,2,0,0,0,0,1,4,2,2,0,40.46,28.5576,0.582,NaN,0.89239393466514,1,0.583706733524952,0.678212716589909,79.5,79.4533041416328,1,0.998006289515153,0.774824362330292,NaN,136.714533895163,1,0.242979919062209,0.432930857298167,NaN,-0.90309514563503,1,0.496995308740037,0.525607597273687,NaN,-0.833421296189208,1,0.47057516998896,0.586903634153823,NaN,-8.83496768394587,0,0.119856184339809,0.224030191240237,NaN,5.02513295685565,1,0.565363658290195,0.564772836545159,NaN,6.90281082233806,0,0.454904560658667,0.541645708692515,NaN,NaN,1,6.84282219322376,NaN,0,0.194079862668986,0.270984588830197,0.873106141934199,0.228950930877116,0,0.388893298096969,0.474598652710053,NaN,-13.1223321927619,1,0.444394320231502,0.487296743548279,NaN,0.294355269097909,0,0.348591000610674,0.543319528662707,NaN,0.565280712158952,0,0.353034501468261,0.589978660933207,NaN,0,1,0.226443293190853,0.458713149407953,NaN,-1.06261509219345,0,0.310559026734468,0.49644125654704,NaN,1.8721968204671,1,0.551540177375331,0.657102989505993,NaN,0.874953420380527,1,0.261446973022849,0.569650791094527
DTXSID80310730,288.014503128,22,18,6,2,2,0,0,0,0.666666666666667,5,4,2,0,86.18,33.555,1.667,NaN,1.85299881864136,1,0.401969807887892,0.524041323173876,NaN,167.064490242492,1,0.245932512681654,0.423868707526377,NaN,256.30248008503,0,0.165900799548071,0.468375094082519,NaN,-7.22291254642717,1,0.3207785704248,0.330966807011978,NaN,-1.44231377971081,1,0.285558096505792,0.400106942996347,NaN,-10.3239808361077,0,0.0772868463419265,0.19317512930194,NaN,5.92555011042884,1,0.528788086912103,0.586322991137672,NaN,7.84090889103361,0,0.651464425945287,0.59553839918348,NaN,NaN,1,6.36365376737142,NaN,0,0.294362019684276,0.549920636462167,1.79728344137308,0.778441240477908,0,0.348165913786084,0.536980979818022,NaN,-12.163867281381,0,0.217053760701009,0.380504579447209,NaN,0.298667634512549,0,0.234385175538027,0.477600454713941,NaN,0.818560046695882,0,0.345519226264,0.548285420225608,NaN,0,0,0.24355909405275,0.621779547026375,NaN,-0.4569387151978,0,0.220318852442164,0.394370830504917,NaN,1.46774586187959,0,0.382736652950218,0.496367915518909,NaN,0.383932403739358,1,0.242551664858224,0.538028712515773
DTXSID70381090,294.013834432,24,18,6,4,0,0,0,0,1,7,4,2,0,58.92,38.901,0.755,NaN,2.13184551936244,1,0.368573433521356,0.53295333161067,NaN,93.2772776692275,1,0.305093972768223,0.402304640349183,NaN,158.375817234299,1,0.239394816650328,0.438939796803326,NaN,-3.76554051867082,1,0.302143909427005,0.36572509470222,NaN,-1.21727053725867,1,0.316190189687565,0.51006807723031,NaN,-9.80192947133805,0,0.0468728313461666,0.183118908830508,NaN,11.3543156873604,1,0.331035964794036,0.444911019608697,NaN,6.98285147276796,0,0.493522719009435,0.550090228331842,NaN,NaN,1,5.98226554128838,NaN,0,0.160723568007503,0.534901130108708,2.00818715303697,0.697822595397344,0,0.264648500764429,0.533927230859689,NaN,-13.4376460961688,1,0.34144005263393,0.511301605004263,NaN,0.257702996093368,0,0.20082157606707,0.463593103240643,NaN,0.56547830231913,0,0.241616215419339,0.52984557875268,NaN,0,0,0.194001312387388,0.597000656193694,NaN,-0.45084789183776,0,0.213487954816485,0.38387971709145,NaN,1.16029068073669,1,0.443682653178904,0.518874802467845,NaN,0.251204119922715,1,0.238961867753647,0.542837964189222
DTXSID10382147,294.030233444,25,18,7,2,0,0,0,0,1,6,2,2,0,40.46,36.5895,0.298,NaN,2.39834632029998,1,0.510909549312299,0.541878941285542,NaN,38.8122483830151,1,0.342233353431508,0.464822535822155,NaN,157.828569440726,1,0.227297706294091,0.429437132586212,NaN,-1.37487604899259,1,0.351821025236678,0.417277321824649,NaN,-3.33617809333592,1,0.45149418912426,0.552050375063084,NaN,-9.79257742266079,0,0.0714185016406965,0.195375299157063,NaN,16.3927311196839,1,0.288879890365113,0.459315321318605,NaN,6.97148297454,0,0.48946733853387,0.54792867757294,NaN,NaN,1,8.67308870650309,NaN,0,0.178111412058066,0.260898168169057,2.39805487981803,2.3757849190384,0,0.344510480685183,0.401388554727299,NaN,-13.1070046124581,1,0.297611380401853,0.473868189479239,NaN,0.417114683962933,0,0.290539267214534,0.546137688627679,NaN,0.651816560201062,0,0.257630645099519,0.532483397135378,NaN,0,0,0.277099160296252,0.638549580148126,NaN,-0.71358940976783,0,0.227624607837578,0.461559301789898,NaN,2.1783360613294,0,0.442069342353764,0.634648311662187,NaN,0.197788794611436,1,0.224961429440106,0.599046086136429
DTXSID70366226,245.008689476,18,15,5,1,1,0,0,0,0.8,4,2,1,0,43.09,26.9904,0.811,NaN,2.1101922572699,1,0.47312711028902,0.581203077427477,NaN,13.0429773176348,1,0.332934369733114,0.466247497740699,NaN,141.770454506391,0,0.226882273260381,0.457688616498028,NaN,-1.28240541044485,1,0.385721126506395,0.322443674914445,NaN,-1.34462426265537,1,0.332001400077775,0.488377274242064,NaN,-8.66202061193233,0,0.1088489217547,0.220653255912951,NaN,7.75299676972731,1,0.633897827051468,0.587074178955874,NaN,4.5024463574515,1,0.940467551058484,0.755259649162177,NaN,NaN,1,6.98243815529767,NaN,0,0.340986008795188,0.572629924445053,2.09612231892938,1.55201874044203,0,0.407056559542104,0.576916500936265,NaN,-12.5140149568353,0,0.277902910400758,0.412543569602615,NaN,0.316013497728468,0,0.38073320821083,0.568830346214573,NaN,0.630995521218746,0,0.264070765412086,0.518782538042384,NaN,0,1,0.244519215152537,0.622259607576269,NaN,-1.18943455079913,0,0.306451031580212,0.501946571227863,NaN,1.49551418024334,0,0.477637568477277,0.517179530224662,NaN,0.091106234950752,1,0.254843821224409,0.550750918705007
DTXSID2060965,213.002461224,15,13,4,1,1,0,0,0,0.75,3,2,1,0,43.09,23.2121,0.667,NaN,2.00113519392266,1,0.484364662168265,0.59299680928025,NaN,-5.0970883476541,1,0.349113760386758,0.401383554175946,NaN,121.601643687587,0,0.246623368316995,0.439951174313198,NaN,-0.666597719218205,1,0.394482310014538,0.329639045086637,NaN,-1.34658488055322,1,0.342508673869837,0.493481295670293,NaN,-4.59099911373372,0,0.241247004788177,0.467057755849798,NaN,7.3308607950692,1,0.444356800565095,0.499988418838968,NaN,4.1914058554557,1,0.960971849608351,0.825033280252369,NaN,NaN,1,6.60950744948925,NaN,0,0.325579485581868,0.565586410086993,1.96863215337918,1.14543757003012,0,0.404972073875066,0.579291609683622,NaN,-12.4842532781401,0,0.325388403047684,0.431078071127948,NaN,0.309987759378642,0,0.369321127834654,0.562532638097828,NaN,0.649712800748859,0,0.266910752820572,0.516003004940764,NaN,0,1,0.237182389757311,0.618591194878655,NaN,-1.13682343028466,0,0.347260944426968,0.534024222318892,NaN,1.45082478497809,1,0.490575761875774,0.5296445169187,NaN,0.252680691846567,0,0.235456610000639,0.536214975158765
DTXSID30396867,362.017618072,28,22,8,2,0,0,0,0,1,7,2,2,0,40.46,42.5616,0.393,NaN,3.17446231590006,1,0.485783665063252,0.511561198455207,NaN,63.5025721298929,0,0.316494985536431,0.482282110201806,NaN,154.546889791991,0,0.217909336104899,0.412177019865395,NaN,-0.929763821526857,1,0.307123907652183,0.43308631097329,NaN,-2.85381160536025,0,0.521305169796209,0.516287781386062,NaN,-10.1889195153445,0,0.0694523535863548,0.189207528966837,NaN,13.9923741666876,1,0.52597842460099,0.550348913289459,NaN,7.17029118982709,0,0.540632153842646,0.572300425303355,NaN,NaN,1,7.61465880158164,NaN,0,0.165792784043881,0.255785650019881,3.17113982953419,2.96763213444277,0,0.325788224553566,0.383673424237544,NaN,-13.5782633884662,1,0.355296595280396,0.51603236883107,NaN,0.415703936354371,0,0.232115347011455,0.515081266466967,NaN,0.610578348701605,0,0.365813612478587,0.593715793528474,NaN,0,0,0.325948408439226,0.662974204219613,NaN,0.0453851101648208,0,0.21041695110119,0.381507957800816,NaN,3.23902233156161,0,0.341039319834672,0.501664106317809,NaN,0.0135271661327389,1,0.27036759571474,0.628685801795393
DTXSID00380798,410.002361932,31,25,8,5,0,0,0,0,1,10,5,2,0,68.15,51.0747,0.814,NaN,3.61280863566378,1,0.293398329343271,0.487205066482179,NaN,105.684489034259,0,0.249452245069114,0.431199398798681,NaN,162.2530096277,0,0.196471400643239,0.434383185938579,NaN,-5.10534338073713,0,0.244998222438296,0.308231917486282,NaN,-2.95139153301351,1,0.288805089086612,0.408668868359065,NaN,-10.1925041679437,0,0.0459243052846865,0.177143983106317,NaN,16.0466893367461,1,0.403826355021767,0.479081337421011,NaN,7.37823377733816,0,0.586791354047359,0.604905983212914,NaN,NaN,1,6.47979217343196,NaN,0,0.137356510542141,0.473006259788751,3.56953952442488,2.6433172887985,0,0.215377419942706,0.480105663135465,NaN,-14.1573966897302,1,0.279943198510015,0.374766429610781,NaN,0.496233827081501,0,0.144600991934952,0.480489360111903,NaN,0.565928554748862,0,0.185223076244331,0.501704910154129,NaN,0,0,0.135473703816389,0.567736851908195,NaN,-0.309376902726955,0,0.183482899715503,0.355326210233981,NaN,2.50301865163535,0,0.369475136535009,0.519327580715198,NaN,0.00894705786529923,1,0.264705920067512,0.628332285491192
DTXSID30340244,486.01590382,40,30,14,3,0,6,1,0,0.571428571428571,9,3,0,1,51.75,49.091,0.611,NaN,6.00440759296399,1,0.386027588519493,0.523618814603514,NaN,47.3328720807088,1,0.263845561619653,0.501891317016385,NaN,206.561347066148,0,0.208989392981226,0.460633545424222,NaN,-3.71063492056324,1,0.343204060777466,0.400515037243839,NaN,-5.60832545235965,0,0.297923177616756,0.452614788459066,NaN,-5.2939806332942,0,0.119114235510625,0.219298624167157,NaN,21.1666162029846,1,0.313975830949524,0.464090532633109,NaN,6.72784226721208,1,0.954429805231963,0.8372004502398,NaN,NaN,0,NaN,NaN,0,0.20728785975122,0.427747290674332,6.00440759296399,6.00440759296399,0,0.296657724135357,0.475683052638923,NaN,-10.8593422142599,0,0.173363860158839,0.458562768594013,NaN,2.14330563040042,0,0.235031008124714,0.40536546399768,NaN,0.695102628241481,0,0.203170407961283,0.485081741813409,NaN,0,0,0.193666479978604,0.442324742801828,NaN,0.880125095651837,0,0.241909348446343,0.307865041937574,NaN,3.44217617761341,0,0.338161029638286,0.41490521907827,NaN,0.012092013413292,1,0.26058990578102,0.61227222131128
